,id_jogo,Jogadora,#,set_1,set_2,set_3,set_4,set_5,Pontos_Tot,BP,V-P,Saques_Tot,Saques_Err,Saques_Ace,Rec_Tot,Rec_Err,Rec_%Pos,Rec_%_Exc.,At_Tot,At_Err,At_Blk,At_Exc.,% Exc. ,Block_Pts
0,395,NAIANE RIOS ,3,*,,,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
1,395,GABRIELA CANDIDO,6,,,*,,,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
2,395,SARAELEN LIMA,7,1,5,1,,,5,1,-,7,1,-,-,-,.,.,8,1,3,3,38%,2
3,395,EDINARA BRANCHER,9,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
4,395,TIFANNY ABREU ,10,*,,,,,-,-,-1,-,-,-,-,-,.,.,1,1,-,-,0%,-
5,395,VALQUIRIA DULLIUS,11,4,2,4,,,8,4,4,15,2,2,1,-,100%,0%,7,-,2,4,57%,2
6,395,ANDRESSA  PICUSSA ,12,,,*,,,1,1,-,3,1,1,-,-,.,.,2,-,-,-,0%,-
7,395,DIOUF VALENTINA,13,5,3,5,,,16,5,11,11,1,1,-,-,.,.,31,1,3,13,42%,2
8,395,JOSEFA FABIOLA ALVES,14,2,6,2,,,3,2,3,13,-,1,-,-,.,.,3,-,-,2,67%,-
9,395,VANESSA JANKE,16,6,4,6,,,6,3,2,12,1,1,6,-,33%,33%,10,2,1,2,20%,3
10,395,JULIA DIAS  (L),17,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11,395,YOANA PALACIO,18,3,1,3,,,13,3,9,9,1,-,28,2,43%,32%,19,1,-,13,68%,-
12,395,TASSIA  STHAEL (L),19,*,*,*,,,-,-,-3,-,-,-,24,3,63%,46%,-,-,-,-,.,-
13,395,ARLENE XAVIER (L),20,*,*,,,,-,-,-,2,-,-,1,-,0%,0%,-,-,-,-,.,-
14,395,MILKA MARCILIA ,,6,5,6,,,4,2,-1,8,-,-,-,-,.,.,12,4,1,2,17%,2
15,395,NATALIA ARAUJO  (L),,*,*,*,,,-,-,-1,-,-,-,16,1,50%,44%,-,-,-,-,.,-
16,395,DANIELLE LINS ,,1,6,1,,,2,1,2,9,-,1,1,-,100%,0%,1,-,-,1,100%,-
17,395,MAIRA  CIPRIANO CLARO ,,2,1,2,,,12,4,9,9,-,-,20,2,55%,30%,16,1,-,10,63%,2
18,395,JACKELINE  SANTOS,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
19,395,THAISA  DAHER DE MENEZES,,3,2,3,,,4,1,-,12,2,1,-,-,.,.,6,1,1,3,50%,-
20,395,LAYS  FREITAS,,,,*,,,1,1,-,2,1,1,-,-,.,.,1,-,-,-,0%,-
21,395,VIVIAN  PELLEGRINO,,,,*,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
22,395,TAINARA SANTOS ,,*,*,*,,,2,2,-,2,-,-,2,1,50%,50%,4,-,1,1,25%,1
23,395,AMANDA  FRANCISCO,,5,4,5,,,7,3,1,13,-,1,29,2,55%,21%,17,1,3,4,24%,2
24,395,SARA SILVA,,*,*,*,,,3,-,-1,1,-,-,-,-,.,.,9,3,1,3,33%,-
25,395,JUMA   SILVA,,*,,,,,1,1,1,2,-,1,-,-,.,.,-,-,-,-,.,-
26,395,SKOWRONSKA KATARZYNA,,4,3,4,,,11,3,3,5,1,-,-,-,.,.,22,5,2,10,45%,1
27,395,RODRIGUEZ ELINA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
28,396,ROBERTA SILVA ROBERTA,1,5,5,5,5,,8,5,5,14,-,2,1,-,100%,100%,10,1,2,4,40%,2
29,396,FRANCINE TOMAZONI,2,*,*,*,,,-,-,-1,6,1,-,-,-,.,.,-,-,-,-,.,-
30,396,AMANDA  RODRIGUES,3,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
31,396,LORENA VIEZEL,4,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
32,396,DANIELSKI  NATALIA ,5,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
33,396,ALINE SILVA ALINE,6,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
34,396,LORRAYNA MARYS,7,,,*,,,-,-,-,-,-,-,-,-,.,.,1,-,-,-,0%,-
35,396,PAYNE  KELSIE ,8,*,6,6,6,,12,4,8,6,-,1,-,-,.,.,25,2,2,7,28%,4
36,396,LYARA BATISTA,9,6,3,3,3,,4,1,4,12,-,-,-,-,.,.,3,-,-,3,100%,1
37,396,MARI CASSEMIRO,10,3,,*,4,,9,6,4,10,1,-,21,-,71%,52%,15,3,1,8,53%,1
38,396,CLARISSE PEIXOTO,11,1,4,4,*,,7,4,1,7,2,1,10,1,60%,50%,19,1,2,4,21%,2
39,396,ÁLVAREZ  HERRERA ,12,4,1,1,1,,16,7,8,16,2,-,22,2,68%,50%,32,2,2,15,47%,1
40,396,LETICIA HEMELLY (L),13,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
41,396,JULIANA PERDIGÃO (L),14,*,*,*,*,,-,-,-2,-,-,-,26,2,81%,62%,-,-,-,-,.,-
42,396,CAMILA BARBOSA,15,2,2,2,2,,15,3,12,20,3,-,1,-,100%,100%,22,-,-,14,64%,1
43,396,PIETRA JUKOSKI PIETRA,16,*,*,,*,,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-
44,396,LARA NOBRE,,6,6,5,6,,15,4,14,13,-,-,-,-,.,.,16,-,1,12,75%,3
45,396,GIOVANA GASPARINI,,1,1,6,1,,1,1,-,9,1,1,-,-,.,.,-,-,-,-,.,-
46,396,PAMELA SANABIO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
47,396,MARCELLA AMARAL,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
48,396,PRISCILA DAROIT,,5,5,4,5,,15,5,3,11,3,-,12,-,67%,42%,36,7,2,13,36%,2
49,396,LARISSA GONGRA,,*,*,*,*,,1,-,-1,7,1,-,-,-,.,.,2,-,1,1,50%,-
50,396,SILVA JOYCE,,4,4,3,4,,24,6,21,14,1,1,-,-,.,.,43,-,2,20,47%,3
51,396,ARIANNE TOLENTINO,,,*,*,*,,3,1,2,1,-,-,-,-,.,.,6,1,-,3,50%,-
52,396,VIVIAN  JORGE,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
53,396,SASSA GONZAGA (L),,*,*,*,*,,-,-,-2,-,-,-,29,2,69%,38%,-,-,-,-,.,-
54,396,THAIS SOUZA,,2,2,,*,,3,3,-6,16,4,2,19,-,74%,42%,8,1,4,1,13%,-
55,396,CAROL WON HELD,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
56,396,CARLA SANTOS,,,*,1,2,,4,2,-,8,1,1,24,2,42%,17%,6,-,1,3,50%,-
57,396,DUTRA GABRIELA (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
58,396,GIOVANNA FANT,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
59,396,STEPHANY CARVALHO (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
60,396,LETICIA HAGE,,3,3,2,3,,3,1,-,12,1,-,1,-,0%,0%,5,2,-,2,40%,1
61,396,JULIANA CARRIJO,,,*,*,*,,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
62,396,JULIA MOURA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
63,397,MAGGIONI ROSANE ,1,6,*,*,,,1,-,1,3,-,-,-,-,.,.,1,-,-,1,100%,-
64,397,ODILON  JULIANA ,3,,,*,,,-,-,-,1,-,-,2,-,50%,0%,1,-,-,-,0%,-
65,397,FERREIRA LAIZA,5,*,*,*,,,1,-,-,-,-,-,-,-,.,.,5,-,1,1,20%,-
66,397,ARIELE FERREIRA ,8,4,,*,,,3,2,-2,1,1,-,11,2,55%,18%,7,-,2,2,29%,1
67,397,PRISCILA  HELDES,9,*,1,2,,,-,-,-,8,-,-,-,-,.,.,1,-,-,-,0%,-
68,397,LOFF RAQUEL,10,*,,*,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
69,397,IVNA COLOMBO IVNA,11,1,2,3,,,7,2,3,7,-,-,27,1,52%,19%,17,1,2,7,41%,-
70,397,MOHR PAULA,12,*,5,6,,,9,3,1,9,2,2,21,2,33%,24%,20,2,2,7,35%,-
71,397,ARIANE HELENA,13,3,4,5,,,11,3,2,8,2,1,-,-,.,.,23,2,5,8,35%,2
72,397,ADRIANI  VILVERT ,15,5,6,1,,,4,1,2,6,1,-,-,-,.,.,7,1,-,4,57%,-
73,397,GUTH ANA PÁULA ,17,2,3,4,,,1,1,-,6,1,-,-,-,.,.,2,-,-,-,0%,1
74,397,PAPINI  SILVANA  (L),18,*,*,*,,,-,-,-,-,-,-,6,-,67%,17%,-,-,-,-,.,-
75,397,CLAUDINO FABIANA,,6,6,6,,,12,9,12,12,-,3,-,-,.,.,8,-,-,5,63%,4
76,397,LLOYD CARLI ELLEN,,1,1,1,,,2,1,-,11,2,-,1,-,0%,0%,2,-,-,2,100%,-
77,397,ELLEN  BRAGA,,,*,2,,,5,3,4,7,-,-,6,1,33%,0%,8,-,-,5,63%,-
78,397,BORGO PAULA,,*,,,,,1,-,1,-,-,-,-,-,.,.,1,-,-,1,100%,-
79,397,MONTIBELLER ROSAMARIA,,5,5,5,,,7,1,4,12,1,-,12,1,67%,58%,15,-,1,7,47%,-
80,397,MICHELLE PAVAO,,*,,*,,,-,-,-,5,-,-,-,-,.,.,-,-,-,-,.,-
81,397,NICOLE  FAWCETT,,4,4,4,,,8,-,3,8,2,-,1,-,0%,0%,18,1,2,5,28%,3
82,397,LAIS  VASQUEZ,,*,*,*,,,-,-,-,1,-,-,3,-,33%,33%,1,-,-,-,0%,-
83,397,FRANCYNNE  JACINTHO,,,,*,,,1,1,1,1,-,1,-,-,.,.,1,-,-,-,0%,-
84,397,ANANDA  MARINHO,,*,,,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
85,397,ANA CAROLINA SILVA ,,3,3,3,,,10,5,7,7,2,-,-,-,.,.,8,-,1,5,63%,5
86,397,FERNANDA  GARAY,,2,2,,,,9,7,9,9,-,1,9,-,78%,44%,13,-,-,8,62%,-
87,397,SUELEN  PINTO (L),,*,*,*,,,-,-,-1,-,-,-,10,1,80%,30%,-,-,-,-,.,-
88,398,ALESSANDRA SANTOS,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
89,398,ANGELICA MALINVERNO,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
90,398,BARRETO  MARIANA ,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
91,398,DANIELA TERRA (L),0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
92,398,DIANA MAXIMILIANO  DIANA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
93,398,EDUARDA SILVA EDUARDA (L),0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
94,398,EMILCE SOSA EMILCE,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
95,398,FERNANDA CAMPOS FERNANDA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
96,398,FERNANDES DA SILVA  NATÁLIA ,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
97,398,LIMA GABRIELLE,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
98,398,MACEDO  EDUARDA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
99,398,RENATA COLOMBO,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
100,398,SILVA NATÁLIA ,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
101,398,BRUNA  COSTA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
