id_jogo,Jogadora,#,set_1,set_2,set_3,set_4,set_5,Pontos_Tot,BP,V-P,Saques_Tot,Saques_Err,Saques_Ace,Rec_Tot,Rec_Err,Rec_%Pos,Rec_%_Exc.,At_Tot,At_Err,At_Blk,At_Exc.,% Exc. ,Block_Pts,time
395,NAIANE RIOS ,3,*,,,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,SESI VOLEI BAURU
395,GABRIELA CANDIDO,6,,,*,,,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-,SESI VOLEI BAURU
395,SARAELEN LIMA,7,1,5,1,,,5,1,-,7,1,-,-,-,.,.,8,1,3,3,38%,2,SESI VOLEI BAURU
395,EDINARA BRANCHER,9,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,SESI VOLEI BAURU
395,TIFANNY ABREU ,10,*,,,,,-,-,-1,-,-,-,-,-,.,.,1,1,-,-,0%,-,SESI VOLEI BAURU
395,VALQUIRIA DULLIUS,11,4,2,4,,,8,4,4,15,2,2,1,-,100%,0%,7,-,2,4,57%,2,SESI VOLEI BAURU
395,ANDRESSA  PICUSSA ,12,,,*,,,1,1,-,3,1,1,-,-,.,.,2,-,-,-,0%,-,SESI VOLEI BAURU
395,VALENTINA DIOUF,13,5,3,5,,,16,5,11,11,1,1,-,-,.,.,31,1,3,13,42%,2,SESI VOLEI BAURU
395,JOSEFA FABIOLA ALVES,14,2,6,2,,,3,2,3,13,-,1,-,-,.,.,3,-,-,2,67%,-,SESI VOLEI BAURU
395,VANESSA JANKE,16,6,4,6,,,6,3,2,12,1,1,6,-,33%,33%,10,2,1,2,20%,3,SESI VOLEI BAURU
395,JULIA DIAS  (L),17,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,SESI VOLEI BAURU
395,YOANA PALACIO,18,3,1,3,,,13,3,9,9,1,-,28,2,43%,32%,19,1,-,13,68%,-,SESI VOLEI BAURU
395,TASSIA  STHAEL (L),19,*,*,*,,,-,-,-3,-,-,-,24,3,63%,46%,-,-,-,-,.,-,SESI VOLEI BAURU
395,ARLENE XAVIER (L),20,*,*,,,,-,-,-,2,-,-,1,-,0%,0%,-,-,-,-,.,-,SESI VOLEI BAURU
395,MILKA MARCILIA ,,6,5,6,,,4,2,-1,8,-,-,-,-,.,.,12,4,1,2,17%,2,HINODE BARUERI
395,NATALIA ARAUJO  (L),,*,*,*,,,-,-,-1,-,-,-,16,1,50%,44%,-,-,-,-,.,-,HINODE BARUERI
395,DANIELLE LINS ,,1,6,1,,,2,1,2,9,-,1,1,-,100%,0%,1,-,-,1,100%,-,HINODE BARUERI
395,MAIRA  CIPRIANO CLARO ,,2,1,2,,,12,4,9,9,-,-,20,2,55%,30%,16,1,-,10,63%,2,HINODE BARUERI
395,JACKELINE  SANTOS,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,HINODE BARUERI
395,THAISA  DAHER DE MENEZES,,3,2,3,,,4,1,-,12,2,1,-,-,.,.,6,1,1,3,50%,-,HINODE BARUERI
395,LAYS  FREITAS,,,,*,,,1,1,-,2,1,1,-,-,.,.,1,-,-,-,0%,-,HINODE BARUERI
395,VIVIAN  PELLEGRINO,,,,*,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,HINODE BARUERI
