id_jogo,data_jogo,local_jogo,mandante,sets_mandante,sets_visitante,visitante,rodada,turno
395,16/11/2018 - 19:30,PANELA DE PRESSAO,SESI VOLEI BAURU,3.0,0.0,HINODE BARUERI,1,Primeiro Turno
396,16/11/2018 - 20:00,HENRIQUE VILLABOIM,ESPORTE CLUBE PINHEIROS,3.0,1.0,FLUMINENSE F.C.,1,Primeiro Turno
397,16/11/2018 - 20:00,GINASIO HAMILTON LINHARES CRUZ ,VOLEI BALNEARIO CAMBORIU,0.0,3.0,DENTIL/PRAIA CLUBE,1,Primeiro Turno
398,16/11/2018 - 20:00,SESI TAQUATINGA,BRB/BRASILIA VOLEI,1.0,3.0,MINAS TENIS CLUBE,1,Primeiro Turno
399,16/11/2018 - 20:00,COMPLEXO POLIESPORTIVO LAURO GOMES,SAO CRISTOVAO SAUDE SAO CAETANO,1.0,3.0,OSASCO VOLEIBOL CLUBE/AUDAX,1,Primeiro Turno
400,16/11/2018 - 21:30,GINASIO TIJUCA TENIS CLUBE,SESC RJ,3.0,0.0,CURITIBA VÔLEI,1,Primeiro Turno
401,20/11/2018 - 19:30,GINASIO TIJUCA TENIS CLUBE,SESC RJ,3.0,2.0,BRB/BRASILIA VOLEI,2,Primeiro Turno
402,20/11/2018 - 19:30,PRAIA CLUBE,DENTIL/PRAIA CLUBE,3.0,2.0,CURITIBA VÔLEI,2,Primeiro Turno
403,20/11/2018 - 19:30,JOSE CORREA,HINODE BARUERI,3.0,1.0,ESPORTE CLUBE PINHEIROS,2,Primeiro Turno
404,20/11/2018 - 20:00,GINASIO HEBRAICA RIO,FLUMINENSE F.C.,3.0,1.0,VOLEI BALNEARIO CAMBORIU,2,Primeiro Turno
405,20/11/2018 - 20:00,GINASIO MUNICIPAL JOSE LIBERATTI,OSASCO VOLEIBOL CLUBE/AUDAX,3.0,1.0,SESI VOLEI BAURU,2,Primeiro Turno
406,20/11/2018 - 20:00,ARENA MINAS,MINAS TENIS CLUBE,3.0,0.0,SAO CRISTOVAO SAUDE SAO CAETANO,2,Primeiro Turno
407,23/11/2018 - 19:30,GINASIO MUNICIPAL JOSE LIBERATTI,OSASCO VOLEIBOL CLUBE/AUDAX,2.0,3.0,ESPORTE CLUBE PINHEIROS,3,Primeiro Turno
408,23/11/2018 - 20:00,GINÁSIO UNIVERSIDADE POSITIVO,CURITIBA VÔLEI,3.0,0.0,VOLEI BALNEARIO CAMBORIU,3,Primeiro Turno
409,23/11/2018 - 20:00,SESI TAQUATINGA,BRB/BRASILIA VOLEI,0.0,3.0,DENTIL/PRAIA CLUBE,3,Primeiro Turno
410,23/11/2018 - 20:00,COMPLEXO POLIESPORTIVO LAURO GOMES,SAO CRISTOVAO SAUDE SAO CAETANO,0.0,3.0,SESC RJ,3,Primeiro Turno
411,23/11/2018 - 20:00,GINASIO HEBRAICA RIO,FLUMINENSE F.C.,2.0,3.0,HINODE BARUERI,3,Primeiro Turno
412,23/11/2018 - 21:30,PANELA DE PRESSAO,SESI VOLEI BAURU,1.0,3.0,MINAS TENIS CLUBE,3,Primeiro Turno
413,26/11/2018 - 19:00,COMPLEXO POLIESPORTIVO LAURO GOMES,SAO CRISTOVAO SAUDE SAO CAETANO,0.0,3.0,DENTIL/PRAIA CLUBE,4,Primeiro Turno
414,27/11/2018 - 19:00,HENRIQUE VILLABOIM,ESPORTE CLUBE PINHEIROS,0.0,3.0,MINAS TENIS CLUBE,4,Primeiro Turno
415,27/11/2018 - 19:30,GINASIO MUNICIPAL JOSE LIBERATTI,OSASCO VOLEIBOL CLUBE/AUDAX,0.0,3.0,FLUMINENSE F.C.,4,Primeiro Turno
416,27/11/2018 - 20:00,GINASIO HAMILTON LINHARES CRUZ ,VOLEI BALNEARIO CAMBORIU,2.0,3.0,HINODE BARUERI,4,Primeiro Turno
417,27/11/2018 - 20:00,GINÁSIO UNIVERSIDADE POSITIVO,CURITIBA VÔLEI,3.0,1.0,BRB/BRASILIA VOLEI,4,Primeiro Turno
418,27/11/2018 - 21:30,JEUNESSE ARENA,SESC RJ,3.0,2.0,SESI VOLEI BAURU,4,Primeiro Turno
419,30/11/2018 - 20:00,SESI TAQUATINGA,BRB/BRASILIA VOLEI,3.0,1.0,VOLEI BALNEARIO CAMBORIU,5,Primeiro Turno
420,30/11/2018 - 20:00,GINÁSIO UNIVERSIDADE POSITIVO,CURITIBA VÔLEI,3.0,1.0,SAO CRISTOVAO SAUDE SAO CAETANO,5,Primeiro Turno
421,30/11/2018 - 20:00,HENRIQUE VILLABOIM,ESPORTE CLUBE PINHEIROS,2.0,3.0,SESC RJ,5,Primeiro Turno
422,04/12/2018 - 21:30,JOSE CORREA,HINODE BARUERI,2.0,3.0,OSASCO VOLEIBOL CLUBE/AUDAX,5,Primeiro Turno
423,08/01/2019 - 19:30,PANELA DE PRESSAO,SESI VOLEI BAURU,1.0,3.0,DENTIL/PRAIA CLUBE,5,Primeiro Turno
424,08/01/2019 - 19:30,GINASIO HEBRAICA RIO,FLUMINENSE F.C.,1.0,3.0,MINAS TENIS CLUBE,5,Primeiro Turno
425,13/11/2018 - 21:30,HENRIQUE VILLABOIM,ESPORTE CLUBE PINHEIROS,0.0,3.0,DENTIL/PRAIA CLUBE,6,Primeiro Turno
428,06/12/2018 - 19:00,GINÁSIO COLEGIO POSITIVO JUNIOR,CURITIBA VÔLEI,1.0,3.0,SESI VOLEI BAURU,6,Primeiro Turno
427,07/12/2018 - 19:15,JEUNESSE ARENA,SESC RJ,1.0,3.0,FLUMINENSE F.C.,6,Primeiro Turno
426,07/12/2018 - 20:00,GINASIO HAMILTON LINHARES CRUZ ,VOLEI BALNEARIO CAMBORIU,0.0,3.0,OSASCO VOLEIBOL CLUBE/AUDAX,6,Primeiro Turno
429,07/12/2018 - 20:00,SESI TAQUATINGA,BRB/BRASILIA VOLEI,3.0,2.0,SAO CRISTOVAO SAUDE SAO CAETANO,6,Primeiro Turno
430,15/01/2019 - 19:30,JOSE CORREA,HINODE BARUERI,3.0,2.0,MINAS TENIS CLUBE,6,Primeiro Turno
432,11/12/2018 - 19:00,JOSE CORREA,HINODE BARUERI,3.0,0.0,SESC RJ,7,Primeiro Turno
433,11/12/2018 - 20:00,COMPLEXO POLIESPORTIVO LAURO GOMES,SAO CRISTOVAO SAUDE SAO CAETANO,3.0,1.0,VOLEI BALNEARIO CAMBORIU,7,Primeiro Turno
